datetime,stock_code,exchange_code,expiry_date,strike_price,option_right,open,high,low,close,volume,open_interest
04-01-2024 11:10,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.35,0.25,0.3,543000,3791650
04-01-2024 11:15,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.35,0.3,0.35,43250,3768600
04-01-2024 11:20,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.35,0.3,0.3,107850,3729500
04-01-2024 11:25,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.35,0.3,0.3,65500,3590300
04-01-2024 11:30,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.35,0.3,0.35,30350,3586700
04-01-2024 11:35,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.35,0.3,0.35,183650,3468500
04-01-2024 11:40,NIFTY,NFO,04-01-2024,22250,CE,0.35,0.35,0.3,0.3,130200,3452950
04-01-2024 11:45,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.35,0.3,0.3,209850,3541350
04-01-2024 11:50,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.3,0.25,0.25,45450,3628350
04-01-2024 11:55,NIFTY,NFO,04-01-2024,22250,CE,0.3,0.3,0.25,0.25,38550,3610550
04-01-2024 12:00,NIFTY,NFO,04-01-2024,22250,CE,0.25,0.3,0.25,0.25,67000,3601550
04-01-2024 12:05,NIFTY,NFO,04-01-2024,22250,CE,0.25,0.3,0.25,0.25,103950,3631100
04-01-2024 12:10,NIFTY,NFO,04-01-2024,22250,CE,0.25,0.25,0.2,0.2,42950,3625900
04-01-2024 12:15,NIFTY,NFO,04-01-2024,22250,CE,0.25,0.25,0.2,0.2,69100,3607250
04-01-2024 12:20,NIFTY,NFO,04-01-2024,22250,CE,0.2,0.25,0.2,0.25,82000,3581900
04-01-2024 12:25,NIFTY,NFO,04-01-2024,22250,CE,0.2,0.25,0.15,0.2,202250,3528700
04-01-2024 12:30,NIFTY,NFO,04-01-2024,22250,CE,0.2,0.2,0.15,0.15,64100,3519200
04-01-2024 12:35,NIFTY,NFO,04-01-2024,22250,CE,0.15,0.2,0.15,0.15,81050,3500600
04-01-2024 12:40,NIFTY,NFO,04-01-2024,22250,CE,0.2,0.2,0.15,0.2,23200,3500500
04-01-2024 12:45,NIFTY,NFO,04-01-2024,22250,CE,0.2,0.2,0.1,0.2,309950,3293900
04-01-2024 12:50,NIFTY,NFO,04-01-2024,22250,CE,0.2,0.2,0.1,0.15,117250,3284350
04-01-2024 12:55,NIFTY,NFO,04-01-2024,22250,CE,0.15,0.2,0.1,0.15,262550,3142550
04-01-2024 13:00,NIFTY,NFO,04-01-2024,22250,CE,0.15,0.15,0.1,0.1,168750,3127950
04-01-2024 13:05,NIFTY,NFO,04-01-2024,22250,CE,0.15,0.15,0.05,0.05,780750,2925700
04-01-2024 13:10,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.15,0.05,0.05,2126550,2626350
04-01-2024 13:15,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.1,0.05,0.05,910700,2362550
04-01-2024 13:20,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.1,0.05,0.1,361600,2337950
04-01-2024 13:25,NIFTY,NFO,04-01-2024,22250,CE,0.1,0.1,0.05,0.1,89650,2314400
04-01-2024 13:30,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.1,0.05,0.1,286050,2223550
04-01-2024 13:35,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.1,0.05,0.1,150250,2207250
04-01-2024 13:40,NIFTY,NFO,04-01-2024,22250,CE,0.1,0.1,0.05,0.05,37900,2203000
04-01-2024 13:45,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.1,0.05,0.1,141450,2161500
04-01-2024 13:50,NIFTY,NFO,04-01-2024,22250,CE,0.1,0.1,0.05,0.05,17650,2135800
04-01-2024 13:55,NIFTY,NFO,04-01-2024,22250,CE,0.1,0.1,0.05,0.1,15200,2133300
04-01-2024 14:00,NIFTY,NFO,04-01-2024,22250,CE,0.1,0.1,0.05,0.05,160750,2083950
04-01-2024 14:05,NIFTY,NFO,04-01-2024,22250,CE,0.1,0.1,0.05,0.05,26500,2052200
04-01-2024 14:10,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.1,0.05,0.1,61100,2045250
04-01-2024 14:15,NIFTY,NFO,04-01-2024,22250,CE,0.1,0.1,0.05,0.05,65950,2042700
04-01-2024 14:20,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.1,0.05,0.05,26100,2043300
04-01-2024 14:25,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.1,0.05,0.05,190400,2040250
04-01-2024 14:30,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,306850,2028650
04-01-2024 14:35,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,108400,2005350
04-01-2024 14:40,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,80750,1991600
04-01-2024 14:45,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,45400,1983150
04-01-2024 14:50,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,19900,1979450
04-01-2024 14:55,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,15150,1976450
04-01-2024 15:00,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,31700,1971550
04-01-2024 15:05,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,8300,1952850
04-01-2024 15:10,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,16100,1952200
04-01-2024 15:15,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,51400,1896700
04-01-2024 15:20,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,17150,1879000
04-01-2024 15:25,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,28700,1853750
04-01-2024 15:30,NIFTY,NFO,04-01-2024,22250,CE,0.05,0.05,0.05,0.05,0,1853750
29-12-2023 09:15,NIFTY,NFO,04-01-2024,22300,CE,21.65,21.65,15.6,16.25,1802450,2858700
29-12-2023 09:20,NIFTY,NFO,04-01-2024,22300,CE,16.1,17.05,15.15,15.8,1105800,2904050
29-12-2023 09:25,NIFTY,NFO,04-01-2024,22300,CE,15.6,16.95,15.5,16.65,581950,2816250
29-12-2023 09:30,NIFTY,NFO,04-01-2024,22300,CE,16.35,19.45,16.25,19.3,855150,2905000
29-12-2023 09:35,NIFTY,NFO,04-01-2024,22300,CE,19.1,20.5,17.65,17.95,757500,3036050
29-12-2023 09:40,NIFTY,NFO,04-01-2024,22300,CE,18,18.05,16.1,16.85,609800,3029650
29-12-2023 09:45,NIFTY,NFO,04-01-2024,22300,CE,16.75,17.2,16.15,17.05,542250,3003100
29-12-2023 09:50,NIFTY,NFO,04-01-2024,22300,CE,16.9,17.1,15.9,16.7,616900,3017250
29-12-2023 09:55,NIFTY,NFO,04-01-2024,22300,CE,16.6,16.75,14.3,14.45,682000,3002300
29-12-2023 10:00,NIFTY,NFO,04-01-2024,22300,CE,14.6,16,14.35,15.25,504450,2985650
29-12-2023 10:05,NIFTY,NFO,04-01-2024,22300,CE,15.3,15.3,11.9,12.5,1298000,3168950
29-12-2023 10:10,NIFTY,NFO,04-01-2024,22300,CE,12.4,12.95,11.55,11.55,945100,3348300
29-12-2023 10:15,NIFTY,NFO,04-01-2024,22300,CE,11.6,12.3,11.45,12.05,678850,3387800
29-12-2023 10:20,NIFTY,NFO,04-01-2024,22300,CE,12.1,13.15,11.6,13.15,500550,3344250
29-12-2023 10:25,NIFTY,NFO,04-01-2024,22300,CE,13.15,13.35,12.3,12.65,477050,3367250
29-12-2023 10:30,NIFTY,NFO,04-01-2024,22300,CE,12.65,13.4,12.35,12.85,338400,3367400
29-12-2023 10:35,NIFTY,NFO,04-01-2024,22300,CE,12.85,13.75,12.55,13.5,281300,3347600
29-12-2023 10:40,NIFTY,NFO,04-01-2024,22300,CE,13.55,13.65,12.9,12.9,398400,3394700
29-12-2023 10:45,NIFTY,NFO,04-01-2024,22300,CE,12.95,14.05,12.5,13.25,464650,3574650
29-12-2023 10:50,NIFTY,NFO,04-01-2024,22300,CE,13.25,13.75,11.9,12.4,271950,3593550
29-12-2023 10:55,NIFTY,NFO,04-01-2024,22300,CE,12.4,12.45,11.1,11.4,386950,3534400
29-12-2023 11:00,NIFTY,NFO,04-01-2024,22300,CE,11.45,11.55,11.05,11.2,331150,3542450
29-12-2023 11:05,NIFTY,NFO,04-01-2024,22300,CE,11.2,11.3,10.55,10.9,249400,3502900
29-12-2023 11:10,NIFTY,NFO,04-01-2024,22300,CE,10.9,11.7,10.8,11.7,238850,3512350
29-12-2023 11:15,NIFTY,NFO,04-01-2024,22300,CE,11.7,12.7,11.4,12.2,469300,3523000
29-12-2023 11:20,NIFTY,NFO,04-01-2024,22300,CE,12.15,13.15,12.15,13.05,302550,3555500
29-12-2023 11:25,NIFTY,NFO,04-01-2024,22300,CE,13.05,13.1,12.25,12.65,213900,3554050
29-12-2023 11:30,NIFTY,NFO,04-01-2024,22300,CE,12.65,12.95,11.85,12.7,496450,3517000
29-12-2023 11:35,NIFTY,NFO,04-01-2024,22300,CE,12.8,13.5,12.8,13.05,328000,3491650
29-12-2023 11:40,NIFTY,NFO,04-01-2024,22300,CE,13.1,13.3,12.4,12.45,278950,3445800
29-12-2023 11:45,NIFTY,NFO,04-01-2024,22300,CE,12.6,12.7,12.05,12.35,182850,3424550
29-12-2023 11:50,NIFTY,NFO,04-01-2024,22300,CE,12.3,12.65,12.2,12.5,88950,3419700
29-12-2023 11:55,NIFTY,NFO,04-01-2024,22300,CE,12.5,13.4,12.5,13.25,177450,3420850
29-12-2023 12:00,NIFTY,NFO,04-01-2024,22300,CE,13.25,13.35,12.3,13.15,169900,3438500
29-12-2023 12:05,NIFTY,NFO,04-01-2024,22300,CE,13.05,13.25,12.6,13,145350,3456650
29-12-2023 12:10,NIFTY,NFO,04-01-2024,22300,CE,13,13.15,12.25,12.25,161950,3490500
29-12-2023 12:15,NIFTY,NFO,04-01-2024,22300,CE,12.25,13.1,12.25,12.9,111400,3487400
29-12-2023 12:20,NIFTY,NFO,04-01-2024,22300,CE,12.9,14,12.85,13.8,356700,3463550
29-12-2023 12:25,NIFTY,NFO,04-01-2024,22300,CE,13.9,13.95,12.5,12.5,201500,3450850
29-12-2023 12:30,NIFTY,NFO,04-01-2024,22300,CE,12.5,12.65,11.65,12.3,299350,3463750
29-12-2023 12:35,NIFTY,NFO,04-01-2024,22300,CE,12.3,12.3,11.05,11.2,223550,3475900
29-12-2023 12:40,NIFTY,NFO,04-01-2024,22300,CE,11.15,11.45,10.6,10.8,303500,3460100
29-12-2023 12:45,NIFTY,NFO,04-01-2024,22300,CE,10.85,11.55,10.8,11.3,153200,3467750
29-12-2023 12:50,NIFTY,NFO,04-01-2024,22300,CE,11.3,11.45,10.75,10.9,192150,3481250
